File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\view.php,41,34,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\_form.php,137,98,3,0,32,31,7,143,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\_search.php,95,72,0,0,20,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\_view.php,71,27,0,0,10,2,34,89,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\requests\all.php,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\contact.php,85,63,2,0,19,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\error.php,15,10,2,0,3,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\index.php,18,12,2,0,5,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\login.php,54,40,2,0,11,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\viewInternshipPosition.php,32,18,3,0,11,0,3,10,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\_viewInternshipPosition.php,25,14,0,0,9,0,2,6,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\site\pages\about.php,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\admin.php,73,49,11,2,8,0,16,21,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\update.php,23,15,2,0,6,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\view.php,48,41,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\_form.php,190,141,1,0,42,49,7,245,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\_search.php,110,84,0,0,23,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\_view.php,83,27,0,0,10,2,46,119,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\admin.php,67,49,11,2,8,0,10,15,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\view.php,38,31,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\_form.php,94,69,0,0,18,23,7,119,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\_search.php,75,56,0,0,16,0,3,12,0,0
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\_view.php,59,27,0,0,10,2,22,59,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\AdminModule.php,29,20,7,3,4,0,5,45,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\controllers\CompanyController.php,200,112,60,13,33,9,55,328,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\controllers\DefaultController.php,111,73,33,8,10,1,28,126,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\controllers\InternshipPositionController.php,174,102,38,11,20,8,52,321,0,0
C:\wamp\www\internship\protected\modules\envengAdmin\controllers\ProfessorController.php,212,127,61,13,33,9,52,323,0,0
